-3079,744,2463,-3706,762,-264,0,0
-2545,915,2463,-3298,1101,-242,0,0
-1173,1039,1969,-2968,1330,315,0,0
39,853,1226,-3374,1465,504,0,0
368,518,120,-4217,1443,318,0,0
-186,-135,-972,-3564,1635,-382,0,0
-403,-859,-1396,-2659,1616,-1311,0,0
173,-1099,-1439,-2901,928,-1478,0,0
1146,-1044,-1612,-3560,1288,-636,0,0
1936,-1252,-1632,-4461,1658,-398,0,0
1968,-947,-1198,-5001,2004,-1075,0,0
1397,-466,-392,-4848,1575,-1352,0,0
10,10,426,-5373,1305,-344,0,0
-121,301,962,-5753,678,829,0,0
145,394,1135,-4580,238,839,0,0
-142,536,987,-3433,154,76,0,0
-495,977,767,-3329,766,-409,0,0
-916,1464,484,-3968,-42,-26,0,0
-1846,1703,-57,-5258,50,428,0,0
-2594,1615,-525,-4470,873,126,0,0
-2533,1160,-709,-3355,1373,-178,0,0
-1166,537,-847,-3452,1654,-262,0,0
436,115,-1002,-3646,1531,-74,0,0
1041,-20,-1119,-3799,1027,249,0,0
-230,-23,-1043,-4114,330,487,0,0
-2527,-362,-778,-3295,-141,166,0,0
-2765,-961,-1157,-3029,555,-987,0,0
-3725,-653,-1608,-1809,2578,-4422,0,0
-3883,794,-1298,-2600,7921,-7397,0,0
-1399,2513,-623,-11111,9140,-9835,0,0
-74,4079,1779,-15070,9072,-8975,0,0
-470,4566,5158,-20495,6599,-4885,0,0
-1152,3946,6432,-18099,4923,-1521,0,0
-2388,2996,6560,-11726,1399,1602,0,0
-3743,1117,7000,-8585,-243,1693,0,0
-3951,-649,7250,-9325,158,1379,0,0
-3131,-1890,7198,-9614,-941,1364,0,0
-3027,-2778,6783,-8155,-2889,630,0,0
-4781,-3662,5994,-6506,-2681,95,0,0
-5015,-4642,4808,-4829,-1392,-1969,0,0
-2687,-5040,3538,-3899,-1848,-6247,0,0
590,-3926,1773,347,-4857,-12137,0,0
60,-1093,-546,2437,-4764,-18205,0,0
905,2133,-1427,2950,-3174,-11554,0,0
1247,3406,-3175,70,-5172,-5559,0,0
577,3688,-5327,-4710,-2585,-609,0,0
2695,3245,-7070,-9388,219,1248,0,0
5193,1715,-8596,-12541,1258,3419,0,0
2919,-426,-8636,-12571,2196,5205,0,0
-440,-1537,-7919,-11083,3128,4309,0,0
-13,-2693,-7095,-11052,4009,3340,0,0
-113,-3667,-5982,-9198,5001,1726,0,0
-891,-3745,-4630,-10047,7032,-1368,0,0
-1440,-3273,-3569,-13485,10899,-7489,0,0
-1168,-1370,-1783,-14579,18942,-283,0,0
58,2028,1555,-15251,11847,-8658,0,0
299,3542,3377,-15833,7296,-2267,0,0
1253,3634,4083,-11075,4635,-2387,0,0
931,3874,4634,-8067,1931,56,0,0
-229,3919,5122,-8856,1009,1854,0,0
-1940,3524,5655,-10412,1312,2906,0,0
-1226,2609,6190,-10381,136,2393,0,0
-1938,1579,6735,-8599,-2256,2018,0,0
-5015,-133,7090,-7107,-1228,1540,0,0
-6249,-1841,6432,-6135,-1872,1276,0,0
-5860,-3934,5092,-584,-3946,-868,0,0
-4341,-6294,4118,4038,-3514,-6142,0,0
