234,-221,246,-4536,244,247,0,0
205,369,285,-4356,378,351,0,0
230,31,167,-4028,566,41,0,0
351,19,143,-3919,682,358,0,0
399,278,163,-3718,748,426,0,0
316,-111,180,-3453,846,-19,0,0
272,-582,212,-4152,555,-2,0,0
239,-505,303,-4596,370,57,0,0
194,-276,246,-4397,803,154,0,0
166,-114,106,-3884,1003,289,0,0
111,-91,-25,-3851,761,512,0,0
66,12,-48,-4044,720,598,0,0
47,233,-77,-4269,773,427,0,0
10,316,-179,-4289,735,417,0,0
-160,380,-295,-4286,847,531,0,0
-333,413,-365,-4266,765,787,0,0
-348,755,-466,-4144,795,994,0,0
-275,1184,-563,-3778,880,583,0,0
-182,1086,-708,-3696,602,680,0,0
-70,1370,-740,-3334,158,597,0,0
54,1703,-659,-2931,39,281,0,0
160,1914,-791,-2921,109,245,0,0
221,2243,-865,-2612,-101,-228,0,0
344,2435,-873,-2118,-427,-685,0,0
548,2545,-878,-1622,-633,-1350,0,0
738,2553,-718,-1063,-955,-2227,0,0
942,2222,-567,-857,-1185,-2650,0,0
977,1974,-367,-784,-1419,-2901,0,0
923,1587,-288,-1290,-1416,-3455,0,0
930,1550,-350,-1309,-1756,-3530,0,0
989,1604,-389,-632,-1867,-3479,0,0
998,1497,-402,-380,-2109,-3706,0,0
1011,1377,-412,-539,-2335,-3972,0,0
983,1293,-523,-542,-2470,-4007,0,0
886,1288,-618,-4,-2715,-3917,0,0
733,1183,-663,112,-3000,-3995,0,0
704,1217,-706,384,-3326,-4166,0,0
808,1236,-709,572,-3874,-4473,0,0
885,1170,-645,329,-4379,-4863,0,0
925,1089,-573,340,-4631,-5173,0,0
747,832,-453,492,-5036,-5496,0,0
351,311,-250,331,-5153,-5607,0,0
-75,-111,-62,581,-5137,-5439,0,0
-422,-445,189,987,-4894,-5138,0,0
-625,-873,411,925,-4468,-4853,0,0
-660,-1321,548,686,-4196,-4524,0,0
-631,-1674,717,383,-3853,-4355,0,0
-598,-1976,900,73,-3634,-4106,0,0
-500,-2063,1088,-136,-3443,-3783,0,0
-465,-2123,1191,-692,-2963,-3712,0,0
-481,-2181,1193,-934,-2920,-3648,0,0
-524,-2301,1228,-1235,-2877,-3418,0,0
-585,-2322,1362,-1448,-2556,-3290,0,0
-598,-2433,1520,-1529,-2263,-2888,0,0
-569,-2437,1627,-1557,-1947,-2327,0,0
-580,-2390,1676,-1751,-1379,-1828,0,0
-619,-2390,1626,-1982,-951,-1348,0,0
-644,-2227,1501,-1883,-637,-838,0,0
-702,-2122,1348,-2241,-104,-362,0,0
-709,-1922,1136,-2513,19,78,0,0
-658,-1659,1004,-2775,237,350,0,0
-580,-1448,804,-2971,503,698,0,0
-517,-1308,694,-2775,677,1015,0,0
-520,-1242,603,-3157,940,1492,0,0
-524,-982,404,-3569,1110,1813,0,0
-447,-637,177,-3532,1040,1990,0,0
-324,-313,38,-3669,1011,2184,0,0
-195,106,-82,-3946,948,2173,0,0
-27,658,-291,-3732,986,1914,0,0
98,1114,-571,-3442,817,1667,0,0
162,1597,-828,-3283,699,1440,0,0
159,2072,-1012,-2972,467,898,0,0
90,2264,-1094,-2918,121,388,0,0
46,2449,-1098,-2996,-180,-20,0,0
66,2731,-1066,-2521,-515,-642,0,0
151,2639,-1021,-2324,-831,-1304,0,0
221,2512,-911,-2255,-905,-1880,0,0
251,2403,-828,-2146,-1009,-2247,0,0
266,2291,-762,-1750,-1117,-2331,0,0
252,2168,-701,-1362,-1243,-2731,0,0
322,2036,-647,-1182,-1438,-3036,0,0
428,1940,-621,-1054,-1645,-3433,0,0
548,1828,-549,-650,-1777,-3686,0,0
594,1610,-471,-177,-1970,-3799,0,0
599,1415,-449,-182,-2050,-3927,0,0
654,1490,-507,-279,-2369,-4111,0,0
740,1596,-526,-80,-2702,-4370,0,0
813,1673,-591,179,-2767,-4422,0,0
835,1792,-669,895,-2988,-4528,0,0
