158,168,-12,3941,26,-969,0,0
116,95,-33,3883,58,-986,0,0
18,65,-34,3856,153,-1040,0,0
-51,61,-10,3844,134,-981,0,0
-108,35,25,3803,173,-844,0,0
-135,-36,62,3737,122,-854,0,0
-129,-72,84,3761,165,-955,0,0
-139,-101,103,3886,129,-1011,0,0
-159,-155,89,3817,92,-1056,0,0
-172,-169,69,3793,114,-1056,0,0
-190,-139,62,3701,126,-1020,0,0
-212,-126,71,3760,153,-1047,0,0
-216,-140,86,3739,124,-1146,0,0
-194,-101,77,3724,164,-1148,0,0
-150,-86,62,3695,138,-1065,0,0
-96,-80,55,3732,188,-1108,0,0
-51,-66,56,3771,174,-1177,0,0
-25,-75,42,3703,184,-1109,0,0
-32,-102,42,3709,289,-998,0,0
-28,-127,102,3809,285,-915,0,0
-2,-212,170,3836,302,-762,0,0
22,-354,263,3957,347,-677,0,0
65,-540,409,4000,346,-721,0,0
120,-708,546,3763,272,-714,0,0
133,-853,640,3659,233,-747,0,0
139,-1048,703,3421,97,-793,0,0
185,-1286,729,2979,-18,-834,0,0
249,-1412,717,2647,-170,-1002,0,0
321,-1516,702,2278,-362,-1284,0,0
383,-1494,660,1797,-570,-1771,0,0
411,-1371,610,1655,-747,-1890,0,0
373,-1486,621,1390,-858,-2088,0,0
368,-1376,711,1454,-1016,-2917,0,0
295,-1412,742,1252,-1445,-3148,0,0
229,-1577,804,1305,-1711,-3286,0,0
311,-1595,834,836,-2121,-3635,0,0
338,-1557,672,563,-2048,-3902,0,0
351,-1498,551,500,-1934,-4369,0,0
375,-1272,409,359,-2178,-4352,0,0
354,-956,276,332,-2281,-4304,0,0
365,-666,227,236,-2224,-4125,0,0
371,-619,265,93,-2214,-3922,0,0
319,-627,349,15,-2248,-3860,0,0
234,-697,421,-104,-2386,-3835,0,0
171,-805,462,-221,-2403,-3841,0,0
157,-807,485,-384,-2478,-3941,0,0
191,-693,458,-507,-2645,-4110,0,0
250,-628,350,-611,-2819,-4360,0,0
272,-483,281,-735,-2906,-4466,0,0
179,-317,218,-746,-2926,-4430,0,0
58,-176,137,-800,-2883,-4429,0,0
56,10,101,-752,-3023,-4536,0,0
111,87,66,-752,-3079,-4632,0,0
93,228,12,-777,-3132,-4736,0,0
-5,441,-118,-706,-3158,-4728,0,0
-77,678,-304,-548,-3104,-4707,0,0
-82,834,-449,-513,-3061,-4494,0,0
-103,928,-524,-325,-2954,-4315,0,0
-184,1040,-565,-168,-2871,-4247,0,0
-286,1178,-634,45,-2797,-4163,0,0
-366,1246,-729,228,-2643,-3960,0,0
-414,1370,-813,449,-2379,-3778,0,0
-431,1454,-908,657,-2223,-3531,0,0
-421,1511,-993,846,-1997,-3443,0,0
-404,1590,-1063,1102,-1813,-3236,0,0
-393,1590,-1082,1248,-1628,-2965,0,0
-440,1535,-1052,1407,-1335,-2743,0,0
-499,1506,-981,1595,-1151,-2484,0,0
-541,1510,-919,1950,-936,-2400,0,0
-524,1512,-889,2089,-765,-2114,0,0
-495,1434,-838,2294,-560,-1815,0,0
-476,1323,-757,2438,-375,-1661,0,0
-469,1271,-708,2805,-259,-1501,0,0
-408,1161,-626,2922,-109,-1293,0,0
-324,1040,-516,3128,76,-1230,0,0
-196,883,-384,3167,10,-1020,0,0
-104,679,-289,3310,86,-811,0,0
-70,566,-234,3512,99,-836,0,0
-53,509,-205,3703,58,-844,0,0
10,244,-249,3587,76,-710,0,0
-30,131,-301,3466,413,-405,0,0
-215,459,-340,3982,597,-649,0,0
-198,273,-261,3992,502,-550,0,0
-111,98,-157,3772,352,-544,0,0
-30,91,-98,3812,439,-734,0,0
19,40,-33,3885,478,-779,0,0
22,-9,8,3816,400,-808,0,0
-26,-24,0,3785,343,-949,0,0
-52,-67,11,3812,345,-1044,0,0
-67,-53,35,3740,380,-1139,0,0
-96,-36,40,3609,372,-1100,0,0
-119,16,62,3681,444,-1041,0,0
-81,-30,119,3733,496,-843,0,0
-25,-100,181,3914,527,-649,0,0
31,-220,244,3902,438,-738,0,0
87,-346,290,3856,422,-745,0,0
98,-445,318,3847,372,-765,0,0
83,-505,360,3771,383,-824,0,0
77,-567,417,3607,217,-839,0,0
81,-646,476,3484,138,-994,0,0
95,-739,529,3297,59,-1122,0,0
116,-803,581,3119,-36,-1163,0,0
131,-839,615,2969,-181,-1247,0,0
162,-887,632,2794,-274,-1409,0,0
239,-823,593,2616,-577,-1588,0,0
358,-790,543,2647,-705,-1725,0,0
488,-992,594,2518,-741,-1734,0,0
514,-1146,732,2319,-950,-1957,0,0
441,-1290,843,2048,-992,-2101,0,0
288,-1323,890,1926,-1285,-2453,0,0
277,-1380,894,1473,-1369,-2497,0,0
334,-1148,713,1544,-1765,-2873,0,0
560,-1060,562,1587,-1826,-3142,0,0
