227, -159, 846, -771, 1802, 3535, 8328,
551, 216, 1113, -451, 1623, 4158, 9353,
2051, 355, 1290, -371, 1503, 4050, 10378,
2251, 342, 1127, -24, 1586, 3070, 11403,
1094, 329, 1128, -278, 2127, 3280, 12428,
834, 186, 1489, -519, 2621, 3353, 13453,
1797, 560, 1932, -24, 2246, 2889, 14478,
1885, 440, 1552, 248, 2489, 2951, 15503,
1653, 209, 1350, 430, 3020, 2526, 16528,
1112, 65, 1077, 715, 2536, 2301, 17553,
80, 155, 845, 539, 3248, 1847, 18578,
117, 417, 1026, 903, 2841, 2169, 19603,
755, 215, 543, 849, 2964, 2258, 20628,
572, -46, 378, 683, 3184, 2316, 21653,
-156, 35, 352, 1243, 2601, 2059, 22678,
-300, -146, -123, 725, 3406, 2382, 23798,
503, -119, 80, 1030, 2932, 1600, 24823,
-21, -12, -133, 805, 3152, 2498, 25848,
-463, -74, -97, 666, 3231, 2293, 26873,
-361, 215, -56, 803, 3155, 2018, 27898,
132, 201, 34, 723, 3125, 2211, 28923,
263, 257, 91, 720, 3109, 2137, 29948,
32, 988, 400, 720, 3242, 2199, 30973,
-147, 1862, 606, 573, 3380, 1983, 31998,
-68, 395, 417, 823, 3210, 2456, 33023,
-106, 66, 44, 956, 3272, 2424, 34048,
-146, 14, -131, 916, 3161, 2453, 35073,
60, 132, 25, 833, 3135, 2438, 36098,
323, 88, -71, 719, 3181, 2311, 37123,
282, -39, -146, 637, 3217, 2399, 38148,
246, -154, -97, 632, 3126, 2344, 39173,
481, -216, 103, 680, 3230, 2067, 41318,
313, -181, 322, 736, 3271, 2125, 42343,
-113, -195, 362, 756, 3392, 1931, 43368,
-235, -291, 161, 986, 3226, 2257, 44393,
-94, 374, 38, 1005, 3053, 2140, 45418,
268, 1483, 278, 840, 2968, 2349, 46443,
1006, 833, 232, 759, 3324, 2095, 47468,
1553, -166, 212, 940, 3917, 1548, 48493,
1209, -76, 234, 933, 3566, 1406, 49518,
-285, -269, 311, 1016, 3562, 1439, 50543,
-1454, -2744, 609, 908, 3288, 1729, 51568,
-135, -545, 401, 1172, 3292, 2078, 52593,
655, -184, -331, 1162, 3001, 1873, 53618,
257, -278, -331, 1109, 3058, 1770, 54643,
-389, -206, -20, 1296, 3681, 1865, 55668,
-925, -39, -221, 1085, 3291, 1781, 56533,
-552, 57, -216, 1190, 3352, 2145, 57558,
-439, 75, -285, 1232, 3220, 2069, 58583,
-285, 115, -335, 1118, 3362, 2174, 59608,
